"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"RHBDD3",0.197028420646022,3.3256359556312,4.39444120325335,1.36544045811462e-05,2.78733913784821e-05,2.07036149588184,"Not_significant"
"ADAP2",0.295581786947297,4.24968096847211,4.39265284887976,1.37628896019508e-05,2.80881338327985e-05,2.06281964512309,"Not_significant"
"PDE4A",0.222420585892004,3.27511778152204,4.38954648027813,1.39532910239486e-05,2.84699136730876e-05,2.04972619924386,"Not_significant"
"IRF7",0.342951082928438,5.06923511184435,4.38909467308372,1.39811930989691e-05,2.85200311101732e-05,2.0478225293687,"Not_significant"
"KIAA0319L",0.318134451870585,4.87116874792045,4.38871927151795,1.40044172176255e-05,2.85605843972635e-05,2.04624092887708,"Not_significant"
"POLDIP3",0.119649590307589,3.61490367371694,4.38783373704681,1.40593468788115e-05,2.86657631157625e-05,2.04251058747345,"Not_significant"
"ZNF345",-0.15651578967034,2.99440211987397,-4.3877120272903,1.40669126218055e-05,2.86743438431601e-05,2.04199793567819,"Not_significant"
"PRDM9",0.279909616497784,2.86155869717355,4.38549997079578,1.42050994620082e-05,2.89491182307353e-05,2.03268285435219,"Not_significant"
"TP53INP1",0.269656006777824,5.23993671325792,4.38013461207539,1.45456881738607e-05,2.96361456805688e-05,2.01010707843097,"Not_significant"
"RGL2",0.298045050582675,4.9206879767469,4.37910468670794,1.46119545583854e-05,2.97640600723037e-05,2.00577638978675,"Not_significant"
"ARL1",-0.2107817673663,3.36595722420868,-4.37646658732311,1.47830121336938e-05,3.01053187014494e-05,1.9946878501149,"Not_significant"
"PLA2G12A",0.27839314369772,3.48862369754938,4.37571106523643,1.48323528607478e-05,3.0198599710047e-05,1.99151335355476,"Not_significant"
"TMEM59L",0.321767586545389,3.20159922919112,4.37383764326514,1.49553805067833e-05,3.04418267179304e-05,1.98364393238338,"Not_significant"
"AURKAIP1",0.222289452544933,5.29042276310055,4.37245954239476,1.50465028200347e-05,3.06200096702207e-05,1.97785712437172,"Not_significant"
"DCAF6",0.222889095386938,4.22128442901133,4.37185251217051,1.50868089103811e-05,3.06947200818401e-05,1.97530866735013,"Not_significant"
"ARL5B",0.206669956981289,3.23593184000103,4.36924390706497,1.52611955855177e-05,3.10421222900469e-05,1.96436084434302,"Not_significant"
"SLC27A4",-0.216698373319834,3.3198863053905,-4.36771571866555,1.53642495276046e-05,3.12442988607788e-05,1.95795013049518,"Not_significant"
"METTL13",-0.178312994221768,3.80671048280613,-4.36696902415102,1.54148448497398e-05,3.13397262227154e-05,1.95481851839845,"Not_significant"
"RB1",0.266201164728424,3.44039157385641,4.36617872538652,1.54685683037923e-05,3.14414664166326e-05,1.95150457041541,"Not_significant"
"CARD16",0.299675404631503,4.33103255559504,4.36510612491223,1.5541768732033e-05,3.15827377445382e-05,1.94700773741846,"Not_significant"
