gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
SLC40A1,GSE95233,22,51,6.22616058090909,7.44964943637255,6.16623229,7.48960844,1.22348885546346,Up_in_Sepsis,0.975935828877005,1.41972918224125e-10,GSE236713
DHFR,GSE137340,14,43,6.60883482230357,7.05701594505814,6.482444019875,6.96782198225,0.448181122754567,Up_in_Sepsis,0.872093023255814,8.24463721259666e-06,GSE236713
DHFR,GSE54514,18,35,7.16310164655556,7.17931277405714,7.132750988,7.15643549,0.0162111275015882,Up_in_Sepsis,0.544444444444444,0.608776071190231,GSE236713
DHFR,GSE57065,25,28,4.4312588,5.21479026785714,4.3541425,5.13328375,0.783531467857142,Up_in_Sepsis,0.928571428571428,2.76433237799173e-09,GSE236713
DHFR,GSE65682,42,51,3.03713465081905,3.83270964551373,3.0295678,3.774113079,0.795574994694678,Up_in_Sepsis,0.874883286647993,5.81758965299673e-10,GSE236713
DHFR,GSE95233,22,51,5.30987932090909,6.07964410490196,5.32478402375,6.000647,0.76976478399287,Up_in_Sepsis,0.904634581105169,4.98072335942836e-08,GSE236713
ZBTB4,GSE137340,14,43,6.52450132060714,6.45946898355814,6.501577827,6.538945105,-0.0650323370490042,Down_in_Sepsis,0.51328903654485,0.890692821059384,GSE236713
ZBTB4,GSE54514,18,35,7.99907712136111,7.92733907022857,7.97531640525,7.853297472,-0.0717380511325398,Down_in_Sepsis,0.388888888888889,0.193736415761008,GSE236713
ZBTB4,GSE57065,25,28,7.6965768,6.55985446428571,7.70421,6.5192575,-1.13672233571429,Down_in_Sepsis,0.00857142857142857,6.63763687397464e-14,GSE236713
ZBTB4,GSE65682,42,51,4.68232307653571,4.32625691963726,4.633139319625,4.30365187675,-0.356066156898459,Down_in_Sepsis,0.162931839402428,2.54774905292748e-08,GSE236713
