gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
SNRPN,-0.201345182092409,5.3756340213997,-3.39192161241085,0.000778864633856518,0.00151705423894379,-1.58472070484645,Down_in_Sepsis
E2F5,-0.182887321546859,4.47328257405167,-3.3897364439313,0.000784885402240924,0.00152843279082073,-1.59186276296027,Down_in_Sepsis
ASS1,-0.139869053703013,4.31745483976856,-3.38747066168831,0.000791174093392131,0.00154032777106501,-1.59926377107709,Down_in_Sepsis
RPS5,-0.332682001456972,10.5181089664498,-3.38647309427585,0.000793957715350496,0.00154539490583605,-1.60252078791782,Down_in_Sepsis
ASPSCR1,-0.133850246039672,5.10543651419757,-3.38603568811915,0.000795181135132308,0.00154742357602302,-1.60394861915466,Down_in_Sepsis
RNF10,0.279645536640828,9.43237275016212,3.38539312563631,0.000796981562497191,0.00155052679417164,-1.60604583336738,Up_in_Sepsis
PRPF38A,0.14032502382493,5.70422742404559,3.38533704507744,0.000797138877556218,0.00155052679417164,-1.60622885313085,Up_in_Sepsis
EXOSC1,0.179552698593754,6.40124613570618,3.38464487066568,0.000799082924212801,0.00155369175769448,-1.60848754222355,Up_in_Sepsis
TRRAP,-0.181067182643172,5.39002956389362,-3.38462818878327,0.000799129831583171,0.00155369175769448,-1.60854197288082,Down_in_Sepsis
SUPT16H,-0.168651677292818,6.37863466492401,-3.38260277078591,0.000804844169236701,0.00156444561890092,-1.61514877096932,Down_in_Sepsis
DYNLRB1,0.188046508585359,7.40518514355471,3.38241633229389,0.000805372080597229,0.00156511557232786,-1.6157567373986,Up_in_Sepsis
FOXD4,0.0988954888478375,4.33055709826064,3.38203665820849,0.00080644814785179,0.00156685023448638,-1.61699473866747,Up_in_Sepsis
EIF3H,-0.23026595440262,7.71118211905876,-3.3807040371565,0.000810235661516245,0.00157385098590181,-1.62133898356038,Down_in_Sepsis
CLEC2B,0.303407905021872,6.88127175387842,3.37960313270004,0.000813377101176032,0.00157959386565359,-1.62492664562626,Up_in_Sepsis
TRIM35,-0.125655197026966,5.01112925508309,-3.37614127754592,0.000823329668231958,0.00159855846700822,-1.63620114814193,Down_in_Sepsis
PNKD,0.116432291610637,5.67764472791591,3.37416629426589,0.000829058320084492,0.00160894867275531,-1.64262840816955,Up_in_Sepsis
YEATS2,-0.163637272808753,5.20191880773556,-3.37413125636483,0.00082916028582586,0.00160894867275531,-1.64274240162343,Down_in_Sepsis
PLCL1,0.16506542015056,4.26639535935968,3.37410172669801,0.000829246230824126,0.00160894867275531,-1.64283847355048,Up_in_Sepsis
GTF3C1,-0.154584352064274,5.72236694538754,-3.37109354512957,0.000838045059754032,0.00162565134121263,-1.65262119371919,Down_in_Sepsis
NFAT5,0.16628663730583,6.74423818053774,3.37060326998298,0.000839487315831755,0.0016280792834966,-1.65421481573782,Up_in_Sepsis
ECE1,0.163588594780009,6.07915633800426,3.3704904370029,0.000839819566977489,0.00162835389819631,-1.65458154474466,Up_in_Sepsis
RER1,0.1438839360512,7.32165665314337,3.37004140699803,0.000841143007698987,0.00163054980225988,-1.65604086563991,Up_in_Sepsis
C1orf56,-0.139163677280292,6.61937059861804,-3.36994753395247,0.000841419928253222,0.00163071649811908,-1.65634592455293,Down_in_Sepsis
INTS9,-0.147929754569163,5.52191890506282,-3.36754837861028,0.0008485262045169,0.00164411576968667,-1.66413976135889,Down_in_Sepsis
WDFY2,0.175377101322664,5.83331382582371,3.36395928714649,0.000859261518255985,0.0016645390400146,-1.67578952779507,Up_in_Sepsis
TBC1D1,-0.154770600852543,5.75389335345365,-3.36377773126869,0.000859807916855007,0.00166521982264368,-1.67637852873226,Down_in_Sepsis
MPZL2,-0.14977854343479,4.3031860215651,-3.36370663839226,0.000860021961458986,0.00166525676101138,-1.6766091591267,Down_in_Sepsis
STAT5A,-0.235149163855509,8.03798540506535,-3.36321359716638,0.000861507763670941,0.00166775562318983,-1.67820849511734,Down_in_Sepsis
SPTAN1,-0.164702798295827,5.34077550657751,-3.36194837683726,0.000865331511007698,0.0016747782541393,-1.6823116386643,Down_in_Sepsis
PIGM,-0.16582561688622,5.057844070154,-3.36102622648391,0.000868128386151398,0.00167981072635231,-1.68530128946852,Down_in_Sepsis
DPY19L1,0.112560840951346,4.46961349345289,3.36043107992202,0.000869937929570922,0.00168293088481659,-1.68723037368974,Up_in_Sepsis
VHL,0.141438379281877,6.24347614529129,3.36020155015089,0.000870636753224667,0.00168390138344472,-1.68797427711594,Up_in_Sepsis
UFSP2,-0.152725700112352,5.30683309524316,-3.35980421477727,0.000871847711979893,0.00168586174055247,-1.6892619245421,Down_in_Sepsis
E2F2,0.280824503264395,7.22692864300506,3.35971716495886,0.000872113223064671,0.00168599344458926,-1.68954400850101,Up_in_Sepsis
FARSB,-0.106962757565066,4.98890915760461,-3.35659472433638,0.000881686943833309,0.00170411590569819,-1.69965773219896,Down_in_Sepsis
PPP2CB,0.159373534189661,5.55794218597264,3.35640251506035,0.000882279463259039,0.00170483887168241,-1.70028001982645,Up_in_Sepsis
SOX6,0.125178441065415,4.0943380558261,3.35634390604616,0.000882460209777303,0.00170483887168241,-1.70046976297182,Up_in_Sepsis
EPM2AIP1,0.181673061460679,6.54608813845086,3.35369114127364,0.000890677365384408,0.00172032459921941,-1.70905469115656,Up_in_Sepsis
CAMSAP3,0.103481717750359,4.56720961673253,3.35344495388834,0.000891443552970411,0.00172141519012441,-1.70985108621871,Up_in_Sepsis
ASB8,0.176556594793871,7.09351209041844,3.35213337795047,0.000895535811673739,0.00172892662014137,-1.71409300200274,Up_in_Sepsis
OGG1,-0.097771093455103,4.99856262434068,-3.35085095260318,0.000899554024898493,0.00173629173483797,-1.71823914085536,Down_in_Sepsis
BRSK2,0.0978443593979632,4.13821659244985,3.35028790537577,0.000901323514042256,0.00173931408346925,-1.72005903002591,Up_in_Sepsis
