gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p
BACH2,GSE236713,30,125,2.07433841333333,-0.344494265336,2.050342325,-0.3784858,-2.41883267866933,Down_in_Sepsis,0.024,6.36120793677694e-16
BACH2,GSE54514,18,35,7.16996871987037,7.23128238859048,7.17851034816667,7.20007387766667,0.0613136687201052,Up_in_Sepsis,0.644444444444444,0.0893094144791169
BACH2,GSE57065,25,28,6.4475452,4.56257428571429,6.365085,4.336395,-1.88497091428571,Down_in_Sepsis,0.0328571428571429,1.27509004349053e-11
BACH2,GSE65682,42,51,2.84344966409524,2.58526325947059,2.676387867,2.476367827,-0.25818640462465,Down_in_Sepsis,0.336601307189542,0.00697285486814061
BACH2,GSE95233,22,51,5.91867616977273,4.57200326333333,5.8066477025,4.480686575,-1.34667290643939,Down_in_Sepsis,0.016934046345811,7.51822548100406e-11
TNFRSF25,GSE137340,14,43,6.18019690946429,5.81296683565116,6.12706963725,5.915617081,-0.367230073813123,Down_in_Sepsis,0.332225913621263,0.0619421081092126
TNFRSF25,GSE236713,30,125,1.62109185766667,-0.444809486876,1.56461085,-0.49960864,-2.06590134454267,Down_in_Sepsis,0.0157333333333333,1.99145076149493e-16
TNFRSF25,GSE54514,18,35,7.07549866027778,7.13480898991429,7.0658040045,7.114365578,0.0593103296365083,Up_in_Sepsis,0.695238095238095,0.0203799907117107
TNFRSF25,GSE57065,25,28,5.63446846666667,4.93078523809524,5.61572166666667,4.93792833333334,-0.703683228571427,Down_in_Sepsis,0.0171428571428571,6.01812409907034e-13
TNFRSF25,GSE65682,42,51,3.67147418067857,3.15122739492157,3.46610433275,3.0961701355,-0.520246785757003,Down_in_Sepsis,0.23062558356676,8.56400623491198e-06
TNFRSF25,GSE95233,22,51,5.85135510484849,5.05691001232026,5.86218558333333,5.02973236666667,-0.794445092528224,Down_in_Sepsis,0.0294117647058824,2.27348975174705e-10
KDM2B,GSE137340,14,43,5.5127068282381,5.85432683875194,5.47118732566667,5.78684186366667,0.341620010513843,Up_in_Sepsis,0.745847176079734,0.00530367293010345
KDM2B,GSE236713,30,125,0.976848680444445,-0.271131897338667,1.07066569333334,-0.170394898666667,-1.24798057778311,Down_in_Sepsis,0.0594666666666667,7.44232952688722e-14
KDM2B,GSE54514,18,35,7.66593815225,7.74397239001429,7.6528155805,7.710582733,0.0780342377642862,Up_in_Sepsis,0.607936507936508,0.207020180060236
KDM2B,GSE57065,25,28,7.5701212,6.02403428571429,7.57876,6.036025,-1.54608691428571,Down_in_Sepsis,0.00142857142857143,4.42509124931643e-15
KDM2B,GSE65682,42,51,2.99299425897619,2.7767392617402,2.962495891125,2.778756183,-0.216254997235994,Down_in_Sepsis,0.201213818860878,7.93594324122344e-07
KDM2B,GSE95233,22,51,8.02943134954546,6.75601110215686,8.005857425,6.74898689,-1.27342024738859,Down_in_Sepsis,0,1.60188706567253e-11
ANKS1A,GSE137340,14,43,6.100923982,7.28556765618605,5.8797756445,7.288437028,1.18464367418605,Up_in_Sepsis,0.81063122923588,0.000312251163096141
ANKS1A,GSE236713,30,125,-1.14569345556667,0.428403218384,-1.105058675,0.403834225,1.57409667395067,Up_in_Sepsis,0.9768,5.68982032753381e-16
ANKS1A,GSE54514,18,35,8.36291376744445,8.47786478311429,8.35987854,8.536522865,0.11495101566984,Up_in_Sepsis,0.582539682539683,0.33676180410244
ANKS1A,GSE57065,25,28,6.3056256,7.08700357142857,6.28889,7.19754,0.781377971428571,Up_in_Sepsis,0.861428571428572,1.66261724813358e-06
ANKS1A,GSE65682,42,51,4.55654991301191,5.25225121583333,4.6455979815,5.2903660715,0.695701302821429,Up_in_Sepsis,0.774509803921569,5.74681376280225e-06
ANKS1A,GSE95233,22,51,7.33716994727273,8.20160833078431,7.33971589,8.13895383,0.864438383511587,Up_in_Sepsis,0.911764705882353,2.88669210785192e-08
LRRN1,GSE137340,14,43,4.59039416471429,5.10155516753488,4.3490111625,5.116178121,0.511161002820598,Up_in_Sepsis,0.800664451827243,0.000511075771431277
