gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
ZDHHC19,2.41256100967882,6.15804369658615e-44,Up_in_Sepsis,6,6,1,0.875650603619414,0.932848179271709,0.565079365079365,0.985714285714286,5,5,5,5,FALSE,1,0.966759796835873,0.773913043478261,0.561876513020279,0.366896089723288,0,0.777085981497872,TRUE
LILRA5,1.41125358802352,4.981106664363e-47,Up_in_Sepsis,6,6,1,0.851290304648991,0.902610409745293,0.522222222222222,1,5,5,4,5,TRUE,1,0.93467132446468,0.715217391304348,0.262074056805947,0.447959397276661,1,0.771791054283614,TRUE
VSIG4,2.00130991995618,2.3001775550076e-31,Up_in_Sepsis,6,6,1,0.84482191546104,0.900299003322259,0.593650793650794,0.967914438502673,5,5,4,5,TRUE,1,0.926150873710125,0.81304347826087,0.438743413081954,0.0372986799880265,1,0.769343163813264,TRUE
BPI,1.81642663765543,1.03902499767512e-35,Up_in_Sepsis,6,6,1,0.82684551172595,0.873982150999935,0.577777777777778,0.994285714285714,4,4,4,5,TRUE,1,0.902471552890325,0.791304347826087,0.383387324683946,0.151211269017491,1,0.762066343645352,TRUE
CEACAM1,1.89963266873706,1.61281396013407e-35,Up_in_Sepsis,6,6,1,0.830679190182063,0.898590919158361,0.552380952380952,0.994652406417112,4,4,4,5,TRUE,1,0.907521445150203,0.756521739130435,0.408300125638602,0.146205083944626,1,0.761600221654879,TRUE
UBE2J1,1.07444430381883,8.28625654277472e-47,Up_in_Sepsis,6,6,1,0.85268754156114,0.906951937984496,0.534920634920635,0.991978609625668,5,5,5,5,TRUE,1,0.93651182724775,0.732608695652174,0.161229652283878,0.442164781918664,1,0.759245778556599,TRUE
CEACAM8,2.46429362203839,4.48860557054429e-44,Up_in_Sepsis,6,6,1,0.853392615491111,0.898318242025492,0.501587301587302,0.966131907308378,5,5,5,5,FALSE,1,0.937440582077442,0.68695652173913,0.577365826208574,0.370496384109613,0,0.757930165226349,TRUE
DAAM2,2.25371727818916,1.07980997869469e-34,Up_in_Sepsis,6,6,1,0.840285211965923,0.843239202657807,0.680952380952381,0.973066666666667,5,5,4,6,FALSE,1,0.920174925511127,0.932608695652174,0.514316952564685,0.124556780615968,0,0.755547002947464,TRUE
WFDC1,1.88658834118647,6.08835196744804e-30,Up_in_Sepsis,6,6,1,0.842132097339758,0.88784907902555,0.562698412698413,0.9832,5,5,5,5,TRUE,1,0.922607725304061,0.770652173913043,0.4043945104851,0,1,0.75303932025094,TRUE
IL18RAP,1.68417023426484,1.27672728360466e-37,Up_in_Sepsis,6,6,1,0.819630638612034,0.876749058693245,0.545238095238095,1,4,4,4,5,TRUE,1,0.892967800212304,0.746739130434782,0.343788302716223,0.201297896087522,1,0.751599244645094,TRUE
