seurat_cluster,score_name,n_cells,mean_score,median_score
0,Nonclassical_monocyte_score,7730,-0.392379624737821,-0.467016844977176
9,Nonclassical_monocyte_score,2578,-0.296583473724425,-0.305560118086058
7,Nonclassical_monocyte_score,3375,0.401412587337967,0.392271584570408
1,Nonclassical_monocyte_score,6240,-0.385308752167844,-0.423026131700089
10,Nonclassical_monocyte_score,1862,0.153248867311618,0.144536496063894
4,Nonclassical_monocyte_score,4948,-0.219196104703028,-0.258655108023786
20,Nonclassical_monocyte_score,422,1.32144679538925,1.33794282228929
21,Nonclassical_monocyte_score,317,-0.465767031747213,-0.508201307726793
22,Nonclassical_monocyte_score,308,-0.406686765734496,-0.448610136406487
11,Nonclassical_monocyte_score,1739,-0.45111409945838,-0.463628400243826
24,Nonclassical_monocyte_score,117,-0.214547888835688,-0.20643172871019
5,Nonclassical_monocyte_score,4780,-0.464870980821778,-0.489944379683202
23,Nonclassical_monocyte_score,236,-0.51828892356703,-0.541229326885379
12,Nonclassical_monocyte_score,1615,-0.300829459871178,-0.288586499174585
19,Nonclassical_monocyte_score,440,0.291953160144461,0.283880381842905
16,Nonclassical_monocyte_score,783,0.695851641735867,0.679270451271051
6,Nonclassical_monocyte_score,3627,1.02589541700111,1.02118288072116
14,Nonclassical_monocyte_score,912,-0.0883907822251844,-0.0676853918069301
15,Nonclassical_monocyte_score,902,0.205530557606751,0.200328141110129
17,Nonclassical_monocyte_score,764,1.09887899503452,1.12830239888574
8,Nonclassical_monocyte_score,3235,0.799171448966782,0.673816399215118
13,Nonclassical_monocyte_score,1580,1.01322660238376,0.987454027334998
2,Dendritic_cell_score,5548,-0.276220603240269,-0.280028431624284
18,Dendritic_cell_score,524,0.717594949903791,0.740321888814816
3,Dendritic_cell_score,5161,-0.300984130704359,-0.303222008280965
0,Dendritic_cell_score,7730,-0.0201698462696463,0.00643566437604684
9,Dendritic_cell_score,2578,-0.280868602367459,-0.285730695948746
7,Dendritic_cell_score,3375,0.250519181145904,0.254487043891733
1,Dendritic_cell_score,6240,-0.272782966018947,-0.278402001554574
10,Dendritic_cell_score,1862,-0.206606102396235,-0.237186193045244
4,Dendritic_cell_score,4948,0.208309717496085,0.273097115068733
20,Dendritic_cell_score,422,0.280405043065604,0.279856026736818
21,Dendritic_cell_score,317,-0.229039621247885,-0.315059625687388
22,Dendritic_cell_score,308,-0.0194106210604767,-0.0495060040522374
11,Dendritic_cell_score,1739,-0.274498859585838,-0.280703855815096
24,Dendritic_cell_score,117,-0.161386521471181,-0.18272090142713
5,Dendritic_cell_score,4780,-0.290157671894315,-0.29306211705993
23,Dendritic_cell_score,236,-0.211396275607324,-0.270529751788936
12,Dendritic_cell_score,1615,0.34017559276075,0.347339321560712
19,Dendritic_cell_score,440,-0.03361474977359,-0.0347247982092099
16,Dendritic_cell_score,783,0.0318194756094287,0.0217807007950255
6,Dendritic_cell_score,3627,0.151570070923191,0.159236573983424
14,Dendritic_cell_score,912,-0.0316867969603083,-0.035058475553209
15,Dendritic_cell_score,902,0.0818657452626801,0.0943394028140363
17,Dendritic_cell_score,764,0.193011373740032,0.192095389285404
8,Dendritic_cell_score,3235,0.141071882221896,0.124328849935116
13,Dendritic_cell_score,1580,0.161725097005227,0.153413299908309
2,Platelet_score,5548,-0.953382735045971,-0.977307583072585
18,Platelet_score,524,-1.07300169290632,-1.11713112547088
3,Platelet_score,5161,-0.929333007108786,-0.936727474389895
0,Platelet_score,7730,-0.873776278032564,-0.938496956834237
9,Platelet_score,2578,-0.86370950923084,-0.881010196789688
7,Platelet_score,3375,-0.901834078568761,-0.940036472686337
1,Platelet_score,6240,-0.824732365105913,-0.855933227836381
10,Platelet_score,1862,-0.561728625670542,-0.635287560051181
4,Platelet_score,4948,4.22150406821213,4.38765087236186
20,Platelet_score,422,-1.01420336317254,-1.08463535699219
21,Platelet_score,317,-1.06722778084894,-1.08063580598867
22,Platelet_score,308,1.59292390452022,1.6415586956883
11,Platelet_score,1739,-0.877817385989021,-0.924784757867865
24,Platelet_score,117,-0.960724517351509,-1.02728081231658
5,Platelet_score,4780,-0.964503840919533,-0.968549443733575
23,Platelet_score,236,-0.885104393731823,-1.01282930658698
12,Platelet_score,1615,-0.942931154024998,-0.951756397897099
19,Platelet_score,440,-0.751967163766429,-0.924116843423471
16,Platelet_score,783,-0.0895963133004827,-0.617702603415808
6,Platelet_score,3627,-0.954958793493701,-1.00793384064617
14,Platelet_score,912,0.231392821000712,-0.0771640482105141
15,Platelet_score,902,-0.754776998573393,-0.945957605999594
17,Platelet_score,764,-0.89694822939235,-1.0424133109257
8,Platelet_score,3235,-0.92189697085346,-1.01759133744164
13,Platelet_score,1580,-1.02947923066155,-1.07877370745194
2,Erythroid_score,5548,-0.153660854652253,-0.18381146414683
18,Erythroid_score,524,-0.247237786218595,-0.272420956238191
3,Erythroid_score,5161,-0.173346602325162,-0.185721026026117
0,Erythroid_score,7730,-0.0202554480312356,-0.1889831897461
